Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,UG,NA,18,5,1,1,3,4,1,2,,,0,0,,,35,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,33,Amsterdam E.S.,55,NA,200,185,7,3,11,17,36,59,,,1,0,1,1,521,11,9,10,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,34,Auten Road E.S.,5,NA,196,187,18,12,15,19,48,45,,,1,2,,,543,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,34,Auten Road E.S.,6,NA,199,195,14,12,14,20,45,44,,,0,0,,,543,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,34,Auten Road E.S.,UG,NA,5,4,1,1,3,3,3,3,,,0,0,,,23,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,34,Auten Road E.S.,55,NA,400,386,33,25,32,42,96,92,,,1,2,,,1109,51,24,13,2
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,35,Hillsborough M.S.,7,NA,203,220,17,17,21,14,44,39,,,0,2,,,577,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,35,Hillsborough M.S.,8,NA,239,197,15,18,17,11,46,49,,,0,0,,,592,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,35,Hillsborough M.S.,UG,NA,9,6,4,2,3,1,2,1,,,0,0,,,28,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,35,Hillsborough M.S.,55,NA,451,423,36,37,41,26,92,89,,,0,2,,,1197,69,28,15,2
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,KH,NA,27,31,1,1,3,,8,9,,,0,0,,1,81,,,,
