Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,KF,NA,13,7,,,3,6,,,,,0,0,,,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,1,NA,6,7,,,3,8,,,,,0,0,,,24,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,2,NA,8,10,,,,8,1,,,,0,0,,,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,3,NA,8,5,,,3,2,1,,,,0,0,,,19,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,4,NA,6,9,,,6,5,2,,,,0,0,,,28,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,5,NA,13,9,,,1,3,,2,,,0,0,,1,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,6,NA,12,9,,,5,1,1,1,,,0,0,,,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,7,NA,11,7,,1,6,2,,,,,0,0,,,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,8,NA,11,10,,,1,4,1,1,,,0,0,,,28,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,70,Franklin E.S.,55,NA,88,73,,1,28,39,6,4,,,0,0,,1,240,19,14,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,KF,NA,14,9,,,1,2,,,,,0,0,,1,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,1,NA,8,13,,,3,1,,,,,0,0,,,25,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,2,NA,10,10,,,2,1,,,,,0,0,,,23,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,3,NA,3,11,1,,4,2,,,,,0,0,,,21,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,4,NA,16,11,,,2,,,,,,0,0,,,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,5,NA,12,9,,,1,1,,2,,,0,0,,,25,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,6,NA,10,11,,,3,1,,,,,0,0,,,25,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,7,NA,8,11,1,,3,2,,,,,0,0,,,25,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,8,NA,14,14,,,3,3,,,,,0,0,,,34,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,UG,NA,21,11,1,,6,4,2,,,,0,0,,,45,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,80,Jefferson E.S.,55,NA,116,110,3,,28,17,2,2,,,0,0,,1,279,42,11,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,KF,NA,9,4,2,,3,5,4,2,,,0,0,,,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,1,NA,5,4,1,,8,6,,,,,0,0,,,24,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,2,NA,7,7,1,,3,4,2,,,,0,0,,,24,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,3,NA,6,6,3,1,3,4,1,2,,,0,0,,,26,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,4,NA,,11,,,8,1,,1,,,0,1,,,22,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,5,NA,3,11,1,2,2,8,,,,,1,0,,,28,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,6,NA,8,7,1,,8,7,,1,,,2,2,,1,37,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,7,NA,7,14,1,2,7,7,1,1,,,1,0,,,41,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,8,NA,8,12,3,1,15,4,,1,,,1,1,,,46,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,90,Lincoln E.S.,55,NA,53,76,13,6,57,46,8,8,,,5,4,,1,277,83,21,3,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,KF,NA,20,19,,1,5,5,,1,,,0,0,,,51,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,1,NA,14,19,2,,4,4,1,,,,0,0,,,44,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,2,NA,19,16,1,,3,10,2,1,,,0,0,,,52,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,3,NA,19,22,,1,4,3,1,,,,0,0,,,50,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,4,NA,13,23,1,,4,2,1,3,,,0,0,,,47,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,5,NA,19,18,2,,2,6,1,2,,,0,0,,1,51,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,6,NA,15,22,,,6,7,1,,,,0,0,,1,52,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,7,NA,18,17,,,5,9,2,,,,0,0,,,51,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,8,NA,12,21,1,,1,6,1,4,,,0,0,,,46,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,110,Roosevelt E.S.,55,NA,149,177,7,2,34,52,10,11,,,0,0,,2,444,46,14,1,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,KF,NA,9,10,,,5,2,,,,,0,0,,,26,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,1,NA,10,9,1,,1,2,,1,,,0,0,,,24,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,2,NA,9,8,,1,5,3,,2,,,0,0,,,28,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,3,NA,10,11,,,4,4,,,,,0,0,,,29,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,4,NA,5,13,,1,2,3,,,,,0,0,,,24,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,5,NA,4,11,,,7,4,1,,,,0,0,,,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,6,NA,7,13,,1,2,3,1,,,,0,0,,,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,7,NA,9,8,1,,4,5,1,,,,0,0,,,28,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,8,NA,8,9,,,4,3,1,2,,,0,0,,,27,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,UG,NA,9,4,,1,6,5,,,,,0,0,,,25,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,120,Washington E.S.,55,NA,80,96,2,4,40,34,4,5,,,0,0,,,265,41,18,6,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,KF,NA,80,58,2,1,19,22,4,4,,,0,0,,1,191,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,1,NA,49,66,4,,21,24,4,1,,,0,0,,,169,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,2,NA,62,57,2,1,16,26,5,4,,,0,0,,,173,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,3,NA,52,61,4,2,22,20,3,2,,,0,0,,,166,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,4,NA,47,73,1,1,25,12,3,6,,,0,1,,,169,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,5,NA,55,65,4,2,16,24,2,6,,,1,0,,2,177,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,6,NA,52,62,1,1,24,19,3,2,,,2,2,,2,170,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,7,NA,53,57,3,3,25,25,4,1,,,1,0,,,172,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,8,NA,53,66,4,1,24,20,3,8,,,1,1,,,181,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,9,NA,66,50,2,5,28,19,1.5,7,1,,0,0,,1,180.5,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,10,NA,64,38,2,1,16,21,3,2,,,0,0,1,,148,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,11,NA,67,68.5,3,2,20,30,3,1,1,,1,0,,,196.5,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,12,NA,54,49.5,,,25,24,9,4,,,1,0,,,166.5,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,UG,NA,30,15,1,1,12,9,2,,,,0,0,,,70,,,,
2010-2011,3,BERGEN,2860,LYNDHURST TOWNSHIP,999,Total,55,NA,784,786,33,21,293,295,49.5,48,2,,7,4,1,6,2329.5,350,102,30,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,9,NA,115,123,3,2,10,8,19,15,3,3,0,0,2,,303,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,10,NA,104,93,1,3,3,10,17,8,2,4,0,0,,,245,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,11,NA,112.5,99,5,3,6,1,10,9,2,4,0,0,1,1,253.5,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,12,NA,110,92,2,1,5,8,17,10,2,1,0,0,1,,249,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,UG,NA,8,2,,,,1,,,1,,0,0,,,12,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,50,Mahwah High School,55,NA,449.5,409,11,9,24,28,63,42,10,12,0,0,4,1,1062.5,54,14,5,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,KF,NA,15,19,,2,1,3,,3,2,,0,0,,,45,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,1,NA,27,22,,,,1,1,2,,,0,0,1,1,55,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,2,NA,25,25,1,1,2,1,3,1,1,1,0,0,,1,62,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,3,NA,35,39,,1,1,4,3,3,,1,0,0,,,87,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,UG,NA,3,3,1,,,,,,,,0,0,,,7,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,60,Betsy Ross E.S.,55,NA,105,108,2,4,4,9,7,9,3,2,0,0,1,2,256,3,,2,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,PH,NA,,1,1,1,5,3,1,5,1,1,0,0,1,2,22,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,KF,NA,25,24,1,2,5,2,11,5,,,0,0,1,1,77,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,1,NA,37,43,1,1,7,5,6,7,,1,1,0,1,1,111,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,2,NA,32,36,2,,7,6,12,11,,,0,0,,2,108,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,3,NA,42,37,4,,7,6,13,10,,2,0,0,,1,122,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,UG,NA,20,7,,,3,2,,2,,,0,0,,1,35,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,65,Lenape Meadows School,55,NA,156,148,9,4,34,24,43,40,1,4,1,0,3,8,475,34,13,31,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,75,Joyce Kilmer E.S.,4,NA,92,104,4,6,7,7,9,11,1,1,0,0,,3,245,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,75,Joyce Kilmer E.S.,5,NA,90,101,5,,5,6,15,14,,1,0,0,2,2,241,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,75,Joyce Kilmer E.S.,UG,NA,3,,2,,3,1,,,1,,0,0,,1,11,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,75,Joyce Kilmer E.S.,55,NA,185,205,11,6,15,14,24,25,2,2,0,0,2,6,497,41,10,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,76,Ramapo Ridge M.S.,6,NA,112,111,4,2,5,8,23,14,1,,0,0,1,2,283,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,76,Ramapo Ridge M.S.,7,NA,112,101,2,4,11,4,10,11,,1,0,0,,1,257,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,76,Ramapo Ridge M.S.,8,NA,114,125,5,2,5,4,16,14,2,2,0,0,,,289,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,76,Ramapo Ridge M.S.,UG,NA,6,2,,,4,,,,,,0,0,1,,13,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,76,Ramapo Ridge M.S.,55,NA,344,339,11,8,25,16,49,39,3,3,0,0,2,3,842,43,22,8,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,80,George Washington E.S.,KF,NA,14,25,,1,1,2,,1,,,0,0,,1,45,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,80,George Washington E.S.,1,NA,22,19,,,1,1,,1,,,0,0,,2,46,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,80,George Washington E.S.,2,NA,35,24,,,,,2,1,,,0,0,1,1,64,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,80,George Washington E.S.,3,NA,26,29,,1,2,2,2,4,,,0,0,,,66,,,,
2010-2011,3,BERGEN,2900,MAHWAH TOWNSHIP,80,George Washington E.S.,UG,NA,8,3,1,,,1,,,,,0,0,,,13,,,,
