Year,COUNTY_ID,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT,SPECED
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,4,NA,1,0,2,2,2,1,0,0,0,0,0,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,5,NA,1,0,4,0,2,0,2,0,0,0,0,0,0,0,9,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,6,NA,1,1,3,1,5,1,1,1,0,0,0,0,0,0,14,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,7,NA,2,1,4,2,4,0,0,0,0,0,0,0,0,0,13,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,8,NA,1,1,3,1,1,0,0,0,0,0,1,0,0,0,8,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,9,NA,0,1,1,1,2,1,0,1,0,0,0,0,0,0,7,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,10,NA,2,2,2,2,2,1,0,0,0,0,0,0,0,0,11,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,11,NA,1,0,1,1,0,2,0,1,0,0,0,0,0,0,6,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,12,NA,11,5,12,7,8,2,1,0,0,0,0,1,0,0,47,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,UG,NA,89,55,26,10,25,26,8,4,1,0,0,0,2,1,247,,,,,
2011-2012,1,ATLANTIC,125,Atlantic County Special Services School District,999,District Total,55,NA,116,67,66,28,62,40,15,10,1,0,1,1,2,1,410,138,33,0,0,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,PH,NA,21,17,0,0,1,7,1,1,0,0,0,0,0,0,48,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,KF,NA,35,30,2,3,7,7,4,1,0,0,0,0,0,0,89,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,1,NA,31,32,3,1,4,3,5,4,0,0,0,0,0,0,83,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,2,NA,29,27,0,3,5,7,0,4,0,0,0,0,0,0,75,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,3,NA,24,32,7,0,4,8,1,0,0,0,0,0,0,0,76,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,4,NA,29,35,1,3,8,10,3,4,0,0,0,0,0,0,93,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,UG,NA,2,2,0,0,2,1,1,1,0,0,0,0,0,0,9,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,10,Brigantine Elementary School,55,NA,171,175,13,10,31,43,15,15,0,0,0,0,0,0,473,182,33,35,0,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,30,Brigantine North Middle School,5,NA,28,20,1,2,6,2,6,3,0,0,0,0,0,0,68,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,30,Brigantine North Middle School,6,NA,28,25,3,2,3,1,4,3,0,0,0,0,0,0,69,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,30,Brigantine North Middle School,7,NA,26,24,2,2,7,4,3,0,0,1,0,0,0,0,69,,,,,
2011-2012,1,ATLANTIC,570,Brigantine Public Schools,30,Brigantine North Middle School,8,NA,37,26,2,1,4,4,2,4,0,0,0,0,0,0,80,,,,,
